number,stpost,state,fip,year,id,V Mean,V.sd,V.lo,V.up,V Median,S,eg,eg.sd,eg.lo,eg.up,abs_eg,avg_eg,lag_eg,mcg_eg,bias,mmd,unc,majwin,dwin,plan,plancode,planelections,n,wrongwin,popdeviation,firstelection,commission,court,unified,divided,unified_dem,unified_rep,non-unified,pop_black,pop_hisp,seats_black,seats_hisp,urbanization,control
679,UT,Utah,49,1998,UT1998,0.420,0.5,41.0,43.0,0.407,0.280,-0.060,0.010,-0.080,-0.040,0.060,-0.032,-0.028,-0.054,-0.047,-0.013,19,75,21,3,UT3,5,75,,,0,0,0,1,0,0,1,0,0.007,0.082,0.013,0.013,0.879,-1
680,UT,Utah,49,2000,UT2000,0.415,0.3,40.9,42.2,0.413,0.320,-0.011,0.007,-0.024,0.002,0.011,-0.032,-0.060,-0.034,-0.007,-0.002,14,75,24,3,UT3,5,75,,,0,0,0,1,0,0,1,0,0.007,0.090,0.013,0.000,0.882,-1
681,UT,Utah,49,2002,UT2002,0.393,0.8,37.9,40.7,0.356,0.280,-0.007,0.015,-0.034,0.022,0.007,-0.010,-0.011,-0.042,-0.060,-0.037,30,75,21,4,UT4,5,75,,,1,0,0,1,0,0,1,0,0.007,0.098,0.013,0.000,0.887,-1
682,UT,Utah,49,2004,UT2004,0.375,0.8,35.9,38.9,0.322,0.253,0.004,0.015,-0.024,0.034,0.004,-0.010,-0.007,-0.032,-0.100,-0.053,30,75,19,4,UT4,5,75,,,0,0,0,1,0,0,1,0,0.008,0.106,0.013,0.027,0.892,-1
683,UT,Utah,49,2006,UT2006,0.400,0.3,39.4,40.6,0.360,0.267,-0.034,0.006,-0.046,-0.022,0.034,-0.010,0.004,-0.064,-0.060,-0.041,22,75,20,4,UT4,5,75,,,0,0,0,1,0,0,1,0,0.008,0.114,0.000,0.013,0.896,-1
684,UT,Utah,49,2008,UT2008,0.417,0.3,41.1,42.2,0.402,0.307,-0.027,0.005,-0.037,-0.016,0.027,-0.010,-0.034,-0.048,-0.033,-0.015,5,75,23,4,UT4,5,75,,,0,0,0,1,0,0,1,0,0.009,0.122,0.000,0.027,0.901,-1
685,UT,Utah,49,2010,UT2010,0.357,0.4,34.8,36.5,0.315,0.227,0.013,0.009,-0.004,0.030,0.013,-0.010,-0.027,0.010,-0.100,-0.042,17,75,17,4,UT4,5,75,,,0,0,0,1,0,0,1,0,0.009,0.130,0.000,0.040,0.906,-1
686,UT,Utah,49,2012,UT2012,0.332,0.2,32.8,33.6,0.295,0.187,0.023,0.004,0.016,0.031,0.023,0.003,0.013,-0.023,-0.140,-0.037,14,75,14,5,UT5,2,75,,0.016,1,0,0,1,0,0,1,0,0.009,0.138,0.000,0.040,0.911,-1
687,UT,Utah,49,2014,UT2014,0.339,0.3,33.3,34.5,0.295,0.160,-0.018,0.007,-0.031,-0.005,0.018,0.003,0.023,,-0.087,-0.044,17,75,12,5,UT5,2,75,,,0,0,0,1,0,0,1,0,0.010,0.146,0.013,0.040,0.916,-1
688,VT,Vermont,50,1986,VT1986,0.500,0.6,48.8,51.2,0.477,0.443,-0.058,0.012,-0.081,-0.033,0.058,-0.016,,-0.024,-0.057,-0.023,28,61,27,2,VT2,3,62,Y,,1,0,0,1,0,0,1,0,0.003,0.007,0.007,0.000,0.376,-1
689,VT,Vermont,50,1988,VT1988,0.491,0.5,48.0,50.0,0.460,0.446,-0.035,0.010,-0.054,-0.014,0.035,-0.016,-0.058,-0.032,-0.036,-0.031,20,56,25,2,VT2,3,62,,,0,0,0,1,0,0,1,0,0.003,0.007,0.013,0.000,0.389,-1
690,VT,Vermont,50,1990,VT1990,0.489,0.8,47.4,50.4,0.509,0.525,0.046,0.016,0.016,0.077,0.046,-0.016,-0.035,0.047,0.025,0.020,25,61,32,2,VT2,3,62,Y,,0,0,0,1,0,0,1,0,0.003,0.007,0.013,0.000,0.402,-1
691,VT,Vermont,50,1992,VT1992,0.550,0.5,54.1,55.9,0.553,0.677,0.077,0.009,0.059,0.096,0.077,0.042,0.046,0.096,0.000,0.003,16,62,42,3,VT3,5,68,,,1,0,0,0,1,0,0,1,0.003,0.007,0.013,0.000,0.398,0
692,VT,Vermont,50,1994,VT1994,0.520,0.6,50.8,53.1,0.547,0.600,0.061,0.012,0.038,0.084,0.061,0.042,0.077,0.057,0.067,0.028,28,60,36,3,VT3,5,68,,,0,0,0,0,1,0,0,1,0.004,0.008,0.007,0.000,0.394,0
693,VT,Vermont,50,1996,VT1996,0.538,0.4,52.9,54.6,0.532,0.615,0.040,0.009,0.022,0.057,0.040,0.042,0.061,0.034,-0.023,-0.006,17,65,40,3,VT3,5,68,,,0,0,0,0,1,0,0,1,0.004,0.008,0.007,0.000,0.390,0
694,VT,Vermont,50,1998,VT1998,0.501,0.5,49.0,51.0,0.519,0.567,0.065,0.010,0.047,0.087,0.065,0.042,0.040,0.080,0.050,0.019,20,60,34,3,VT3,5,68,,,0,0,0,0,1,0,0,1,0.005,0.009,0.007,0.000,0.386,0
695,VT,Vermont,50,2000,VT2000,0.478,0.5,46.8,48.8,0.459,0.424,-0.031,0.010,-0.052,-0.011,0.031,0.042,0.065,-0.047,-0.061,-0.019,23,66,28,3,VT3,5,68,,,0,0,0,0,1,0,0,1,0.005,0.009,0.007,0.000,0.382,0
696,VT,Vermont,50,2002,VT2002,0.503,0.5,49.2,51.3,0.496,0.475,-0.030,0.010,-0.050,-0.009,0.030,0.065,-0.031,0.005,-0.025,-0.007,29,61,29,4,VT4,5,66,Y,,1,0,0,0,1,0,0,1,0.006,0.010,0.007,0.000,0.383,0
697,VT,Vermont,50,2004,VT2004,0.528,0.5,51.9,53.7,0.535,0.645,0.090,0.009,0.072,0.108,0.090,0.065,-0.030,0.094,0.081,0.008,22,62,40,4,VT4,5,66,,,0,0,0,0,1,0,0,1,0.007,0.011,0.007,0.000,0.385,0
698,VT,Vermont,50,2006,VT2006,0.559,0.7,54.6,57.2,0.573,0.667,0.048,0.013,0.023,0.074,0.048,0.065,0.090,0.081,0.050,0.014,34,60,40,4,VT4,5,66,,,0,0,0,0,1,0,0,1,0.008,0.013,0.000,0.000,0.386,0
699,VT,Vermont,50,2008,VT2008,0.561,0.6,54.9,57.4,0.579,0.714,0.092,0.012,0.066,0.117,0.092,0.065,0.048,0.115,0.040,0.018,27,63,45,4,VT4,5,66,,,0,0,0,0,1,0,0,1,0.009,0.014,0.000,0.000,0.388,0
700,VT,Vermont,50,2010,VT2010,0.538,0.7,52.4,55.3,0.562,0.698,0.123,0.014,0.093,0.151,0.123,0.065,0.092,0.135,0.056,0.024,27,63,44,4,VT4,5,66,,,0,0,0,0,1,0,0,1,0.010,0.015,0.000,0.000,0.389,0
701,VT,Vermont,50,2012,VT2012,0.554,1.4,53.0,58.2,0.572,0.691,0.082,0.027,0.026,0.131,0.082,0.090,0.123,0.096,0.082,0.017,42,55,38,5,VT5,2,58,,0.189,1,0,0,1,0,1,0,0,0.011,0.016,0.000,0.007,0.390,1
702,VT,Vermont,50,2014,VT2014,0.516,1.1,49.7,53.8,0.554,0.630,0.097,0.021,0.054,0.137,0.097,0.090,0.082,,0.130,0.038,42,54,34,5,VT5,2,58,,,0,0,0,1,0,1,0,0,0.012,0.017,0.013,0.007,0.392,1
703,VA,Virginia,51,1983,VA1983,0.549,0.7,53.6,56.4,0.601,0.657,0.058,0.014,0.030,0.085,0.058,0.059,,,0.146,0.052,64,99,65,2,VA2,4,100,,,1,0,0,1,0,1,0,0,0.187,0.019,0.050,0.000,0.677,1
704,VA,Virginia,51,1985,VA1985,0.551,0.7,53.8,56.5,0.605,0.663,0.061,0.014,0.033,0.088,0.061,0.059,0.058,,0.102,0.054,61,98,65,2,VA2,4,100,,,0,0,0,1,0,1,0,0,0.186,0.022,0.070,0.000,0.688,1
705,VA,Virginia,51,1987,VA1987,0.534,0.9,51.6,55.3,0.570,0.646,0.078,0.019,0.040,0.114,0.078,0.059,0.061,,0.096,0.036,69,99,64,2,VA2,4,100,,,0,0,0,1,0,1,0,0,0.186,0.024,0.070,0.000,0.699,1
706,VA,Virginia,51,1989,VA1989,0.533,1.0,51.3,55.2,0.568,0.602,0.037,0.021,-0.003,0.077,0.037,0.059,0.078,,0.061,0.035,60,98,59,2,VA2,4,100,,,0,0,0,1,0,1,0,0,0.186,0.026,0.070,0.000,0.710,1
707,VA,Virginia,51,1991,VA1991,0.503,0.9,48.6,52.1,0.547,0.586,0.080,0.017,0.043,0.113,0.080,0.041,0.037,,0.076,0.045,53,99,58,3,VA3,5,100,,,1,0,0,1,0,1,0,0,0.188,0.030,0.070,0.000,0.717,1
708,VA,Virginia,51,1993,VA1993,0.478,0.7,46.5,49.2,0.522,0.525,0.069,0.015,0.041,0.096,0.069,0.041,0.080,,0.035,0.044,44,99,52,3,VA3,5,100,Y,,0,0,0,1,0,1,0,0,0.189,0.034,0.080,0.000,0.720,1
709,VA,Virginia,51,1995,VA1995,0.503,0.6,49.2,51.6,0.525,0.525,0.019,0.012,-0.007,0.042,0.019,0.041,0.069,,0.025,0.022,35,99,52,3,VA3,5,100,,,0,0,0,1,0,1,0,0,0.191,0.039,0.100,0.000,0.723,1
710,VA,Virginia,51,1997,VA1997,0.487,1.0,46.8,50.7,0.513,0.515,0.041,0.020,0.002,0.079,0.041,0.041,0.019,,0.025,0.026,61,99,51,3,VA3,5,100,Y,,0,0,0,1,0,1,0,0,0.192,0.043,0.100,0.000,0.726,1
711,VA,Virginia,51,1999,VA1999,0.489,0.9,47.1,50.6,0.478,0.475,-0.003,0.018,-0.037,0.033,0.003,0.041,0.041,,-0.025,-0.011,61,99,47,3,VA3,5,100,,,0,0,0,1,0,1,0,0,0.194,0.047,0.100,0.000,0.729,1
712,VA,Virginia,51,2001,VA2001,0.452,0.7,43.9,46.7,0.407,0.347,-0.057,0.014,-0.087,-0.031,0.057,-0.057,-0.003,,-0.082,-0.046,49,98,34,4,VA4,5,100,,,1,0,0,1,0,0,1,0,0.193,0.053,0.100,0.000,0.733,-1
713,VA,Virginia,51,2003,VA2003,0.467,1.0,44.7,48.4,0.408,0.378,-0.055,0.019,-0.090,-0.017,0.055,-0.057,-0.057,,-0.122,-0.058,69,98,37,4,VA4,5,100,,,0,0,0,1,0,0,1,0,0.192,0.060,0.110,0.000,0.738,-1
714,VA,Virginia,51,2005,VA2005,0.499,0.8,48.4,51.4,0.444,0.402,-0.097,0.015,-0.126,-0.067,0.097,-0.057,-0.055,,-0.098,-0.055,62,97,39,4,VA4,5,100,,,0,0,0,1,0,0,1,0,0.192,0.066,0.120,0.000,0.743,-1
715,VA,Virginia,51,2007,VA2007,0.503,0.9,48.5,52.2,0.446,0.449,-0.058,0.019,-0.094,-0.021,0.058,-0.057,-0.097,,-0.051,-0.058,69,98,44,4,VA4,5,100,Y,,0,0,0,1,0,0,1,0,0.191,0.073,0.110,0.000,0.748,-1
716,VA,Virginia,51,2009,VA2009,0.458,0.5,44.9,46.8,0.414,0.398,-0.018,0.010,-0.037,0.000,0.018,-0.057,-0.058,,-0.041,-0.044,46,98,39,4,VA4,5,100,,,0,0,0,1,0,0,1,0,0.190,0.079,0.130,0.000,0.753,-1
717,VA,Virginia,51,2011,VA2011,0.463,1.3,43.7,48.9,0.393,0.323,-0.104,0.027,-0.154,-0.051,0.104,-0.132,-0.018,,-0.136,-0.071,73,99,32,5,VA5,2,100,,0.020,1,0,0,0,1,0,0,1,0.189,0.085,0.130,0.010,0.758,0
718,VA,Virginia,51,2013,VA2013,0.494,0.5,48.5,50.4,0.421,0.330,-0.159,0.010,-0.178,-0.139,0.159,-0.132,-0.104,,-0.140,-0.073,57,100,33,5,VA5,2,100,,,0,0,0,0,1,0,0,1,0.188,0.092,0.120,0.010,0.763,0
719,WA,Washington,53,1972,WA1972,0.533,0.2,52.9,53.6,0.520,0.582,0.016,0.004,0.009,0.023,0.016,0.003,,0.019,-0.051,-0.013,8,98,57,1,WA1,5,98,,,1,0,1,0,0,0,0,1,0.022,0.022,0.010,0.000,0.734,0
720,WA,Washington,53,1974,WA1974,0.574,0.3,56.8,58.0,0.542,0.633,-0.015,0.006,-0.026,-0.003,0.015,0.003,0.016,0.001,-0.041,-0.032,19,98,62,1,WA1,5,98,,,0,0,1,0,0,0,0,1,0.022,0.024,0.010,0.000,0.734,0
721,WA,Washington,53,1976,WA1976,0.556,0.3,55.0,56.1,0.556,0.633,0.021,0.006,0.010,0.033,0.021,0.003,-0.015,0.025,0.000,0.000,16,98,62,1,WA1,5,98,,,0,0,1,0,0,0,0,1,0.023,0.026,0.010,0.000,0.735,0
722,WA,Washington,53,1978,WA1978,0.490,0.4,48.1,49.9,0.497,0.490,0.010,0.009,-0.007,0.027,0.010,0.003,0.021,0.003,0.020,0.007,26,98,48,1,WA1,5,98,,,0,0,1,0,0,0,0,1,0.024,0.027,0.010,0.000,0.735,0
723,WA,Washington,53,1980,WA1980,0.468,0.4,46.1,47.4,0.459,0.418,-0.017,0.007,-0.031,-0.003,0.017,0.003,0.010,-0.022,-0.020,-0.008,11,98,41,1,WA1,5,98,,,0,0,1,0,0,0,0,1,0.025,0.029,0.010,0.000,0.735,0
724,WA,Washington,53,1982,WA1982,0.538,0.1,53.6,54.0,0.523,0.551,-0.025,0.002,-0.030,-0.020,0.025,-0.001,-0.017,-0.024,-0.051,-0.015,4,98,54,2,WA2,5,98,,,1,0,0,1,0,0,1,0,0.026,0.032,0.010,0.000,0.748,-1
725,WA,Washington,53,1984,WA1984,0.512,0.1,51.0,51.4,0.512,0.531,0.007,0.002,0.003,0.011,0.007,-0.001,-0.025,0.020,0.000,0.000,4,98,52,2,WA2,5,98,,,0,0,0,1,0,0,1,0,0.027,0.035,0.020,0.000,0.761,-1
726,WA,Washington,53,1986,WA1986,0.560,0.2,55.7,56.4,0.585,0.622,0.002,0.004,-0.005,0.009,0.002,-0.001,0.007,0.006,0.031,0.025,8,98,61,2,WA2,5,98,,,0,0,0,1,0,0,1,0,0.028,0.038,0.010,0.000,0.773,-1
727,WA,Washington,53,1988,WA1988,0.554,0.2,55.0,55.9,0.577,0.643,0.034,0.005,0.025,0.043,0.034,-0.001,0.002,0.039,0.071,0.023,12,98,63,2,WA2,5,98,,,0,0,0,1,0,0,1,0,0.029,0.041,0.010,0.010,0.786,-1
728,WA,Washington,53,1990,WA1990,0.556,0.4,54.9,56.4,0.572,0.592,-0.021,0.008,-0.036,-0.006,0.021,-0.001,0.034,-0.013,0.020,0.015,18,98,58,2,WA2,5,98,,,0,0,0,1,0,0,1,0,0.030,0.044,0.020,0.010,0.799,-1
729,WA,Washington,53,1992,WA1992,0.558,0.2,55.4,56.1,0.545,0.663,0.048,0.004,0.041,0.056,0.048,-0.046,-0.021,0.053,-0.031,-0.013,10,98,65,3,WA3,5,98,,,1,1,0,0,0,0,0,1,0.030,0.050,0.020,0.000,0.803,0
730,WA,Washington,53,1994,WA1994,0.476,0.5,46.7,48.5,0.466,0.388,-0.065,0.009,-0.082,-0.047,0.065,-0.046,0.048,-0.066,-0.051,-0.010,19,98,38,3,WA3,5,98,,,0,1,0,0,0,0,0,1,0.030,0.056,0.010,0.000,0.807,0
731,WA,Washington,53,1996,WA1996,0.510,0.3,50.4,51.5,0.477,0.429,-0.091,0.006,-0.102,-0.080,0.091,-0.046,-0.065,-0.087,-0.102,-0.033,15,98,42,3,WA3,5,98,Y,,0,1,0,0,0,0,0,1,0.031,0.063,0.010,0.000,0.812,0
732,WA,Washington,53,1998,WA1998,0.530,0.3,52.3,53.6,0.502,0.500,-0.059,0.007,-0.073,-0.046,0.059,-0.046,-0.091,-0.047,-0.061,-0.027,30,98,49,3,WA3,5,98,,,0,1,0,0,0,0,0,1,0.031,0.069,0.010,0.000,0.816,0
733,WA,Washington,53,2000,WA2000,0.531,0.2,52.7,53.6,0.500,0.500,-0.062,0.005,-0.071,-0.053,0.062,-0.046,-0.059,-0.053,-0.051,-0.031,19,98,49,3,WA3,5,98,,,0,1,0,0,0,0,0,1,0.031,0.075,0.010,0.000,0.820,0
734,WA,Washington,53,2002,WA2002,0.516,0.4,50.9,52.3,0.509,0.531,-0.001,0.007,-0.015,0.013,0.001,0.008,-0.062,0.005,-0.031,-0.007,29,98,52,4,WA4,5,98,,,1,1,0,0,0,0,0,1,0.032,0.082,0.020,0.000,0.824,0
735,WA,Washington,53,2004,WA2004,0.531,0.2,52.8,53.5,0.529,0.561,-0.001,0.004,-0.009,0.006,0.001,0.008,-0.001,-0.008,-0.010,-0.002,18,98,55,4,WA4,5,98,,,0,1,0,0,0,0,0,1,0.032,0.090,0.020,0.000,0.828,0
736,WA,Washington,53,2006,WA2006,0.567,0.3,56.1,57.4,0.583,0.633,-0.001,0.006,-0.014,0.011,0.001,0.008,-0.001,-0.009,0.031,0.016,29,98,62,4,WA4,5,98,,,0,1,0,0,0,0,0,1,0.033,0.097,0.020,0.000,0.832,0
737,WA,Washington,53,2008,WA2008,0.567,0.4,56.0,57.4,0.596,0.633,-0.002,0.007,-0.014,0.012,0.002,0.008,-0.001,0.003,0.061,0.029,28,98,62,4,WA4,5,98,,,0,1,0,0,0,0,0,1,0.033,0.105,0.010,0.010,0.836,0
738,WA,Washington,53,2010,WA2010,0.514,0.4,50.7,52.1,0.526,0.571,0.044,0.008,0.029,0.058,0.044,0.008,-0.002,0.060,0.041,0.012,34,98,56,4,WA4,5,98,,,0,1,0,0,0,0,0,1,0.034,0.112,0.010,0.010,0.840,0
739,WA,Washington,53,2012,WA2012,0.546,0.3,53.9,55.2,0.551,0.561,-0.030,0.006,-0.042,-0.017,0.030,-0.009,0.044,0.011,0.010,0.006,38,98,55,5,WA5,2,98,,0.001,1,1,0,0,0,0,0,1,0.035,0.119,0.020,0.041,0.844,0
740,WA,Washington,53,2014,WA2014,0.504,0.3,49.7,51.1,0.517,0.520,0.012,0.007,-0.002,0.026,0.012,-0.009,-0.030,,0.010,0.013,37,98,51,5,WA5,2,98,,,0,1,0,0,0,0,0,1,0.035,0.127,0.020,0.031,0.848,0
741,WV,West Virginia,54,1992,WV1992,0.534,0.7,52.2,54.9,0.551,0.667,0.099,0.013,0.070,0.122,0.099,0.045,,0.046,0.076,0.017,10,33,22,3,WV3,5,33,,,1,0,0,1,0,1,0,0,0.031,0.005,0.010,0.000,0.467,1
742,WV,West Virginia,54,1994,WV1994,0.489,1.0,47.1,51.1,0.540,0.576,0.097,0.020,0.054,0.135,0.097,0.045,0.099,0.094,0.076,0.050,14,33,19,3,WV3,5,33,Y,,0,0,0,1,0,1,0,0,0.031,0.006,0.030,0.000,0.466,1
743,WV,West Virginia,54,1996,WV1996,0.531,0.6,52.2,54.3,0.583,0.576,0.013,0.011,-0.011,0.033,0.013,0.045,0.097,0.020,0.076,0.051,5,33,19,3,WV3,5,33,,,0,0,0,1,0,1,0,0,0.031,0.006,0.020,0.000,0.464,1
744,WV,West Virginia,54,1998,WV1998,0.582,1.5,55.0,60.9,0.645,0.636,-0.027,0.031,-0.082,0.037,0.027,0.045,0.013,0.040,0.076,0.064,16,33,21,3,WV3,5,33,,,0,0,0,1,0,1,0,0,0.031,0.007,0.030,0.000,0.463,1
745,WV,West Virginia,54,2000,WV2000,0.531,0.7,51.6,54.6,0.557,0.606,0.044,0.015,0.014,0.074,0.044,0.045,-0.027,0.015,0.076,0.026,11,33,20,3,WV3,5,33,,,0,0,0,1,0,1,0,0,0.031,0.007,0.010,0.000,0.461,1
746,WV,West Virginia,54,2002,WV2002,0.496,1.0,47.6,51.8,0.543,0.583,0.092,0.021,0.048,0.131,0.092,0.004,0.044,0.024,0.083,0.047,14,36,21,4,WV4,5,36,Y,,1,0,0,1,0,1,0,0,0.032,0.008,0.000,0.000,0.466,1
747,WV,West Virginia,54,2004,WV2004,0.530,0.7,51.4,54.2,0.522,0.528,-0.033,0.014,-0.056,0.000,0.033,0.004,0.092,-0.038,-0.028,-0.008,6,36,19,4,WV4,5,36,,,0,0,0,1,0,1,0,0,0.032,0.009,0.020,0.000,0.471,1
748,WV,West Virginia,54,2006,WV2006,0.543,0.9,52.4,56.1,0.564,0.556,-0.029,0.019,-0.067,0.007,0.029,0.004,-0.033,-0.063,0.028,0.022,13,36,20,4,WV4,5,36,,,0,0,0,1,0,1,0,0,0.033,0.010,0.020,0.000,0.477,1
749,WV,West Virginia,54,2008,WV2008,0.548,2.1,51.0,59.4,0.619,0.556,-0.040,0.043,-0.132,0.036,0.040,0.004,-0.029,-0.041,0.056,0.072,21,36,20,4,WV4,5,36,,,0,0,0,1,0,1,0,0,0.033,0.011,0.020,0.000,0.482,1
750,WV,West Virginia,54,2010,WV2010,0.484,1.1,46.4,50.6,0.498,0.500,0.031,0.022,-0.013,0.072,0.031,0.004,-0.040,0.033,0.028,0.013,16,36,18,4,WV4,5,36,,,0,0,0,1,0,1,0,0,0.034,0.012,0.030,0.000,0.487,1
751,WV,West Virginia,54,2012,WV2012,0.454,1.0,43.5,47.3,0.462,0.426,0.017,0.020,-0.020,0.056,0.017,-0.015,0.031,-0.020,0.032,0.008,19,47,20,5,WV5,2,47,,0.100,1,0,0,1,0,1,0,0,0.035,0.013,0.030,0.000,0.492,1
752,WV,West Virginia,54,2014,WV2014,0.422,0.9,40.3,43.9,0.389,0.298,-0.046,0.019,-0.079,-0.008,0.046,-0.015,0.017,,-0.053,-0.033,14,47,14,5,WV5,2,47,,,0,0,0,1,0,1,0,0,0.035,0.014,0.030,0.000,0.497,1
753,WI,Wisconsin,55,1972,WI1972,0.560,0.1,55.8,56.3,0.562,0.626,0.006,0.003,0.001,0.011,0.006,-0.003,,0.027,0.005,0.002,5,99,62,1,WI1,5,99,,,1,0,0,0,1,0,0,1,0.031,0.010,0.020,0.000,0.656,0
754,WI,Wisconsin,55,1974,WI1974,0.576,0.3,57.0,58.2,0.583,0.636,-0.016,0.006,-0.028,-0.003,0.016,-0.003,0.006,0.004,0.045,0.006,22,99,63,1,WI1,5,99,,,0,0,0,0,1,0,0,1,0.033,0.011,0.020,0.000,0.652,0
755,WI,Wisconsin,55,1976,WI1976,0.596,0.3,59.0,60.1,0.597,0.667,-0.025,0.005,-0.036,-0.014,0.025,-0.003,-0.016,0.003,0.005,0.001,15,99,66,1,WI1,5,99,,,0,0,0,0,1,0,0,1,0.035,0.012,0.020,0.000,0.649,0
756,WI,Wisconsin,55,1978,WI1978,0.547,0.3,54.0,55.3,0.556,0.606,0.013,0.007,-0.001,0.025,0.013,-0.003,-0.025,0.031,0.015,0.010,21,99,60,1,WI1,5,99,,,0,0,0,0,1,0,0,1,0.037,0.012,0.020,0.000,0.645,0
757,WI,Wisconsin,55,1980,WI1980,0.544,0.5,53.4,55.4,0.583,0.596,0.008,0.011,-0.013,0.029,0.008,-0.003,0.013,0.032,0.056,0.039,31,99,59,1,WI1,5,99,,,0,0,0,0,1,0,0,1,0.039,0.013,0.020,0.000,0.642,0
758,WI,Wisconsin,55,1982,WI1982,0.562,0.3,55.6,56.9,0.546,0.586,-0.038,0.007,-0.051,-0.026,0.038,-0.038,0.008,-0.018,-0.035,-0.016,13,99,58,1.1,WI1.1,1,99,,,1,0,1,0,0,0,0,1,0.041,0.014,0.030,0.000,0.648,0
759,WI,Wisconsin,55,1984,WI1984,0.524,0.3,51.9,52.9,0.555,0.525,-0.024,0.005,-0.034,-0.013,0.024,-0.014,-0.038,0.009,0.025,0.030,15,99,52,2,WI2,4,99,,,1,0,0,1,0,1,0,1,0.043,0.015,0.030,0.000,0.654,0
760,WI,Wisconsin,55,1986,WI1986,0.526,0.3,52.0,53.1,0.541,0.545,-0.006,0.006,-0.018,0.005,0.006,-0.014,-0.024,0.002,0.005,0.015,21,99,54,2,WI2,4,99,,,0,0,0,1,0,1,0,1,0.045,0.017,0.030,0.000,0.661,0
761,WI,Wisconsin,55,1988,WI1988,0.551,0.4,54.4,55.9,0.577,0.566,-0.037,0.008,-0.052,-0.021,0.037,-0.014,-0.006,-0.005,0.025,0.026,28,99,56,2,WI2,4,99,,,0,0,0,1,0,1,0,1,0.047,0.018,0.040,0.000,0.667,0
762,WI,Wisconsin,55,1990,WI1990,0.537,0.6,52.6,54.8,0.546,0.586,0.011,0.011,-0.011,0.034,0.011,-0.014,-0.037,0.023,0.035,0.009,38,99,58,2,WI2,4,99,,,0,0,0,1,0,1,0,1,0.049,0.019,0.051,0.000,0.673,0
763,WI,Wisconsin,55,1992,WI1992,0.519,0.6,50.7,53.1,0.522,0.525,-0.013,0.012,-0.036,0.011,0.013,-0.024,0.011,-0.011,0.005,0.003,39,99,52,3,WI3,5,99,,,1,0,1,0,0,0,0,1,0.050,0.022,0.061,0.000,0.675,0
764,WI,Wisconsin,55,1994,WI1994,0.480,0.9,46.1,49.7,0.483,0.485,0.025,0.019,-0.009,0.062,0.025,-0.024,-0.013,0.030,0.005,0.003,46,99,48,3,WI3,5,99,,,0,0,1,0,0,0,0,1,0.052,0.026,0.061,0.000,0.677,0
765,WI,Wisconsin,55,1996,WI1996,0.489,0.5,47.9,49.8,0.471,0.475,-0.002,0.010,-0.022,0.017,0.002,-0.024,0.025,-0.010,-0.015,-0.018,30,99,47,3,WI3,5,99,,,0,0,1,0,0,0,0,1,0.053,0.029,0.061,0.000,0.679,0
766,WI,Wisconsin,55,1998,WI1998,0.509,0.6,49.6,52.1,0.430,0.444,-0.074,0.013,-0.097,-0.048,0.074,-0.024,-0.002,-0.037,-0.066,-0.079,44,99,44,3,WI3,5,99,Y,,0,0,1,0,0,0,0,1,0.055,0.033,0.061,0.010,0.681,0
767,WI,Wisconsin,55,2000,WI2000,0.496,0.5,48.5,50.7,0.449,0.434,-0.057,0.011,-0.079,-0.035,0.057,-0.024,-0.074,-0.054,-0.045,-0.047,41,99,43,3,WI3,5,99,,,0,0,1,0,0,0,0,1,0.056,0.036,0.061,0.010,0.683,0
768,WI,Wisconsin,55,2002,WI2002,0.494,0.8,47.9,51.0,0.433,0.414,-0.074,0.016,-0.106,-0.044,0.074,-0.075,-0.057,-0.024,-0.086,-0.061,52,99,41,4,WI4,5,99,,,1,0,1,0,0,0,0,1,0.057,0.041,0.061,0.010,0.687,0
769,WI,Wisconsin,55,2004,WI2004,0.496,0.5,48.6,50.6,0.457,0.394,-0.098,0.010,-0.118,-0.079,0.098,-0.075,-0.074,-0.091,-0.106,-0.039,43,99,39,4,WI4,5,99,,,0,0,1,0,0,0,0,1,0.058,0.045,0.061,0.010,0.691,0
770,WI,Wisconsin,55,2006,WI2006,0.546,0.4,53.8,55.5,0.494,0.475,-0.118,0.009,-0.134,-0.101,0.118,-0.075,-0.098,-0.068,-0.106,-0.052,39,99,47,4,WI4,5,99,Y,,0,0,1,0,0,0,0,1,0.060,0.050,0.061,0.010,0.694,0
771,WI,Wisconsin,55,2008,WI2008,0.539,0.5,53.1,54.9,0.527,0.531,-0.048,0.009,-0.067,-0.031,0.048,-0.075,-0.118,-0.035,-0.010,-0.012,31,98,52,4,WI4,5,99,,,0,0,1,0,0,0,0,1,0.061,0.054,0.061,0.010,0.698,0
772,WI,Wisconsin,55,2010,WI2010,0.464,0.4,45.6,47.2,0.429,0.388,-0.039,0.008,-0.055,-0.024,0.039,-0.075,-0.048,-0.039,-0.020,-0.035,31,98,38,4,WI4,5,99,,,0,0,1,0,0,0,0,1,0.062,0.059,0.061,0.010,0.702,0
773,WI,Wisconsin,55,2012,WI2012,0.514,0.3,50.7,52.0,0.457,0.394,-0.133,0.006,-0.146,-0.121,0.133,-0.115,-0.039,-0.109,-0.126,-0.056,27,99,39,5,WI5,2,99,Y,0.008,1,0,0,1,0,0,1,0,0.063,0.064,0.030,0.020,0.706,-1
