state,year,code,plan,eg_adj_avg,eg_avg_percentrank,bias_avg,bias_avg_percentrank,mmd_avg,mmd_avg_percentrank,wasted_dem_plan,wasted_rep_plan,votes_dem_plan,votes_twop_plan,seats_plan,seats_dem_plan,seats_r_plan
CO,2008,CO2008,CO4,-0.025,0.290,-0.001,0.036,-0.004,0.065,2373481,1988648,4450373,8724257,35,17,18
CO,2010,CO2010,CO4,-0.025,0.290,-0.001,0.036,-0.004,0.065,2373481,1988648,4450373,8724257,35,17,18
CO,2012,CO2012,CO5,-0.060,0.601,-0.026,0.261,-0.019,0.254,2510831,2119206,4754583,9260073,28,13,15
CO,2014,CO2014,CO5,-0.060,0.601,-0.026,0.261,-0.019,0.254,2510831,2119206,4754583,9260073,28,13,15
CO,2016,CO2016,CO5,-0.060,0.601,-0.026,0.261,-0.019,0.254,2510831,2119206,4754583,9260073,28,13,15
CO,2018,CO2018,CO5,-0.060,0.601,-0.026,0.261,-0.019,0.254,2510831,2119206,4754583,9260073,28,13,15
FL,1972,FL1972,FL1,0.108,0.841,0.127,0.848,0.058,0.761,2818621,3405793,6930672,12448829,75,54,21
FL,1974,FL1974,FL1,0.108,0.841,0.127,0.848,0.058,0.761,2818621,3405793,6930672,12448829,75,54,21
FL,1976,FL1976,FL1,0.108,0.841,0.127,0.848,0.058,0.761,2818621,3405793,6930672,12448829,75,54,21
FL,1978,FL1978,FL1,0.108,0.841,0.127,0.848,0.058,0.761,2818621,3405793,6930672,12448829,75,54,21
FL,1980,FL1980,FL1,0.108,0.841,0.127,0.848,0.058,0.761,2818621,3405793,6930672,12448829,75,54,21
FL,1982,FL1982,FL2,0.036,0.399,0.065,0.558,0.032,0.464,4207237,4233393,8718442,16881259,95,55,40
FL,1984,FL1984,FL2,0.036,0.399,0.065,0.558,0.032,0.464,4207237,4233393,8718442,16881259,95,55,40
FL,1986,FL1986,FL2,0.036,0.399,0.065,0.558,0.032,0.464,4207237,4233393,8718442,16881259,95,55,40
FL,1988,FL1988,FL2,0.036,0.399,0.065,0.558,0.032,0.464,4207237,4233393,8718442,16881259,95,55,40
FL,1990,FL1990,FL2,0.036,0.399,0.065,0.558,0.032,0.464,4207237,4233393,8718442,16881259,95,55,40
FL,1992,FL1992,FL3,-0.008,0.138,-0.075,0.623,-0.053,0.732,2303448,2040962,3941078,8688820,46,18,28
FL,1994,FL1994,FL3,-0.008,0.138,-0.075,0.623,-0.053,0.732,2303448,2040962,3941078,8688820,46,18,28
FL,1996,FL1996,FL3.1,-0.053,0.536,-0.123,0.804,-0.081,0.942,3869336,2741392,5962176,13221456,69,24,45
FL,1998,FL1998,FL3.1,-0.053,0.536,-0.123,0.804,-0.081,0.942,3869336,2741392,5962176,13221456,69,24,45
FL,2000,FL2000,FL3.1,-0.053,0.536,-0.123,0.804,-0.081,0.942,3869336,2741392,5962176,13221456,69,24,45
FL,2002,FL2002,FL4,-0.087,0.754,-0.149,0.899,-0.071,0.855,9043722,5310289,12950612,28708020,125,39,86
FL,2004,FL2004,FL4,-0.087,0.754,-0.149,0.899,-0.071,0.855,9043722,5310289,12950612,28708020,125,39,86
FL,2006,FL2006,FL4,-0.087,0.754,-0.149,0.899,-0.071,0.855,9043722,5310289,12950612,28708020,125,39,86
FL,2008,FL2008,FL4,-0.087,0.754,-0.149,0.899,-0.071,0.855,9043722,5310289,12950612,28708020,125,39,86
FL,2010,FL2010,FL4,-0.087,0.754,-0.149,0.899,-0.071,0.855,9043722,5310289,12950612,28708020,125,39,86
FL,2012,FL2012,FL5,-0.071,0.667,-0.101,0.725,-0.055,0.754,4254469,2727664,6613891,13964266,54,20,34
FL,2014,FL2014,FL5,-0.071,0.667,-0.101,0.725,-0.055,0.754,4254469,2727664,6613891,13964266,54,20,34
FL,2016,FL2016,FL5.1,-0.022,0.268,-0.062,0.543,-0.038,0.551,4712396,3818898,8234212,17062588,54,24,30
FL,2018,FL2018,FL5.1,-0.022,0.268,-0.062,0.543,-0.038,0.551,4712396,3818898,8234212,17062588,54,24,30
GA,1972,GA1972,GA1,0.140,0.928,0.115,0.761,0.022,0.319,939564,1545812,3232394,4970752,50,47,3
GA,1974,GA1974,GA1,0.140,0.928,0.115,0.761,0.022,0.319,939564,1545812,3232394,4970752,50,47,3
GA,1976,GA1976,GA1,0.140,0.928,0.115,0.761,0.022,0.319,939564,1545812,3232394,4970752,50,47,3
GA,1978,GA1978,GA1,0.140,0.928,0.115,0.761,0.022,0.319,939564,1545812,3232394,4970752,50,47,3
GA,1980,GA1980,GA1,0.140,0.928,0.115,0.761,0.022,0.319,939564,1545812,3232394,4970752,50,47,3
GA,1982,GA1982,GA2,0.074,0.681,0.045,0.435,0.007,0.109,1506189,1846008,4287833,6704395,50,43,7
GA,1984,GA1984,GA2,0.074,0.681,0.045,0.435,0.007,0.109,1506189,1846008,4287833,6704395,50,43,7
GA,1986,GA1986,GA2,0.074,0.681,0.045,0.435,0.007,0.109,1506189,1846008,4287833,6704395,50,43,7
GA,1988,GA1988,GA2,0.074,0.681,0.045,0.435,0.007,0.109,1506189,1846008,4287833,6704395,50,43,7
GA,1990,GA1990,GA2,0.074,0.681,0.045,0.435,0.007,0.109,1506189,1846008,4287833,6704395,50,43,7
GA,1992,GA1992,GA3,-0.003,0.058,-0.050,0.457,-0.024,0.348,1011695,844060,1895843,3711509,22,11,11
GA,1994,GA1994,GA3,-0.003,0.058,-0.050,0.457,-0.024,0.348,1011695,844060,1895843,3711509,22,11,11
GA,1996,GA1996,GA3.1,-0.084,0.732,-0.125,0.841,-0.050,0.667,1949770,1266449,2748700,6432437,33,9,24
GA,1998,GA1998,GA3.1,-0.084,0.732,-0.125,0.841,-0.050,0.667,1949770,1266449,2748700,6432437,33,9,24
GA,2000,GA2000,GA3.1,-0.084,0.732,-0.125,0.841,-0.050,0.667,1949770,1266449,2748700,6432437,33,9,24
GA,2002,GA2002,GA4,0.067,0.638,-0.003,0.058,-0.008,0.123,1193594,1363394,2205335,5113976,26,11,15
GA,2004,GA2004,GA4,0.067,0.638,-0.003,0.058,-0.008,0.123,1193594,1363394,2205335,5113976,26,11,15
GA,2006,GA2006,GA4.1,0.035,0.391,-0.045,0.420,-0.116,1.000,2116188,1995568,3748217,8223513,39,17,22
GA,2008,GA2008,GA4.1,0.035,0.391,-0.045,0.420,-0.116,1.000,2116188,1995568,3748217,8223513,39,17,22
GA,2010,GA2010,GA4.1,0.035,0.391,-0.045,0.420,-0.116,1.000,2116188,1995568,3748217,8223513,39,17,22
GA,2012,GA2012,GA5,-0.094,0.775,-0.146,0.884,-0.078,0.920,4186671,2897108,6510528,14167557,56,18,38
GA,2014,GA2014,GA5,-0.094,0.775,-0.146,0.884,-0.078,0.920,4186671,2897108,6510528,14167557,56,18,38
