district,year,plan,winner,winner_plan
36,2008,CA4,D,D
37,2008,CA4,D,D
38,2008,CA4,D,D
39,2008,CA4,D,D
40,2008,CA4,R,R
41,2008,CA4,R,R
42,2008,CA4,R,R
43,2008,CA4,D,D
44,2008,CA4,R,R
45,2008,CA4,R,R
46,2008,CA4,R,R
47,2008,CA4,D,D
48,2008,CA4,R,R
49,2008,CA4,R,R
50,2008,CA4,R,R
51,2008,CA4,D,D
52,2008,CA4,R,R
53,2008,CA4,D,D
1,2010,CA4,D,D
2,2010,CA4,R,R
3,2010,CA4,R,R
4,2010,CA4,R,R
5,2010,CA4,D,D
6,2010,CA4,D,D
7,2010,CA4,D,D
8,2010,CA4,D,D
9,2010,CA4,D,D
10,2010,CA4,D,D
11,2010,CA4,D,X
12,2010,CA4,D,D
13,2010,CA4,D,D
14,2010,CA4,D,D
15,2010,CA4,D,D
16,2010,CA4,D,D
17,2010,CA4,D,D
18,2010,CA4,D,D
19,2010,CA4,R,R
20,2010,CA4,D,D
21,2010,CA4,R,R
22,2010,CA4,R,R
23,2010,CA4,D,D
24,2010,CA4,R,R
25,2010,CA4,R,R
26,2010,CA4,R,R
27,2010,CA4,D,D
28,2010,CA4,D,D
29,2010,CA4,D,D
30,2010,CA4,D,D
31,2010,CA4,D,D
32,2010,CA4,D,D
33,2010,CA4,D,X
34,2010,CA4,D,D
35,2010,CA4,D,D
36,2010,CA4,D,D
37,2010,CA4,D,D
38,2010,CA4,D,D
39,2010,CA4,D,D
40,2010,CA4,R,R
41,2010,CA4,R,R
42,2010,CA4,R,R
43,2010,CA4,D,D
44,2010,CA4,R,R
45,2010,CA4,R,R
46,2010,CA4,R,R
47,2010,CA4,D,D
48,2010,CA4,R,R
49,2010,CA4,R,R
50,2010,CA4,R,R
51,2010,CA4,D,D
52,2010,CA4,R,R
53,2010,CA4,D,D
1,2012,CA5,R,R
2,2012,CA5,D,D
3,2012,CA5,D,D
4,2012,CA5,R,R
5,2012,CA5,D,D
6,2012,CA5,D,D
7,2012,CA5,D,D
8,2012,CA5,R,R
9,2012,CA5,D,D
10,2012,CA5,R,R
11,2012,CA5,D,D
12,2012,CA5,D,D
13,2012,CA5,D,D
14,2012,CA5,D,D
15,2012,CA5,D,D
16,2012,CA5,D,D
17,2012,CA5,D,D
18,2012,CA5,D,D
19,2012,CA5,D,D
20,2012,CA5,D,D
21,2012,CA5,R,R
22,2012,CA5,R,R
23,2012,CA5,R,R
24,2012,CA5,D,D
25,2012,CA5,R,R
26,2012,CA5,D,D
27,2012,CA5,D,D
28,2012,CA5,D,D
29,2012,CA5,D,D
30,2012,CA5,D,D
31,2012,CA5,R,X
32,2012,CA5,D,D
33,2012,CA5,D,D
34,2012,CA5,D,D
35,2012,CA5,D,D
36,2012,CA5,D,D
37,2012,CA5,D,D
38,2012,CA5,D,D
39,2012,CA5,R,R
40,2012,CA5,D,D
41,2012,CA5,D,D
42,2012,CA5,R,R
43,2012,CA5,D,D
44,2012,CA5,D,D
45,2012,CA5,R,R
46,2012,CA5,D,D
47,2012,CA5,D,D
48,2012,CA5,R,R
49,2012,CA5,R,R
50,2012,CA5,R,R
51,2012,CA5,D,D
52,2012,CA5,D,D
53,2012,CA5,D,D
1,2014,CA5,R,R
2,2014,CA5,D,D
3,2014,CA5,D,D
4,2014,CA5,R,R
5,2014,CA5,D,D
6,2014,CA5,D,D
7,2014,CA5,D,D
8,2014,CA5,R,R
9,2014,CA5,D,D
10,2014,CA5,R,R
11,2014,CA5,D,D
12,2014,CA5,D,D
13,2014,CA5,D,D
14,2014,CA5,D,D
15,2014,CA5,D,D
16,2014,CA5,D,D
17,2014,CA5,D,D
18,2014,CA5,D,D
19,2014,CA5,D,D
20,2014,CA5,D,D
21,2014,CA5,R,R
22,2014,CA5,R,R
23,2014,CA5,R,R
24,2014,CA5,D,D
25,2014,CA5,R,R
26,2014,CA5,D,D
27,2014,CA5,D,D
28,2014,CA5,D,D
29,2014,CA5,D,D
30,2014,CA5,D,D
31,2014,CA5,D,X
32,2014,CA5,D,D
33,2014,CA5,D,D
34,2014,CA5,D,D
35,2014,CA5,D,D
36,2014,CA5,D,D
37,2014,CA5,D,D
38,2014,CA5,D,D
39,2014,CA5,R,R
40,2014,CA5,D,D
41,2014,CA5,D,D
42,2014,CA5,R,R
43,2014,CA5,D,D
44,2014,CA5,D,D
45,2014,CA5,R,R
46,2014,CA5,D,D
47,2014,CA5,D,D
48,2014,CA5,R,R
49,2014,CA5,R,R
50,2014,CA5,R,R
51,2014,CA5,D,D
52,2014,CA5,D,D
53,2014,CA5,D,D
1,2016,CA5,R,R
2,2016,CA5,D,D
3,2016,CA5,D,D
4,2016,CA5,R,R
5,2016,CA5,D,D
6,2016,CA5,D,D
7,2016,CA5,D,D
8,2016,CA5,R,R
9,2016,CA5,D,D
10,2016,CA5,R,R
11,2016,CA5,D,D
12,2016,CA5,D,D
13,2016,CA5,D,D
14,2016,CA5,D,D
15,2016,CA5,D,D
16,2016,CA5,D,D
17,2016,CA5,D,D
18,2016,CA5,D,D
19,2016,CA5,D,D
20,2016,CA5,D,D
21,2016,CA5,R,R
22,2016,CA5,R,R
23,2016,CA5,R,R
24,2016,CA5,D,D
25,2016,CA5,R,R
26,2016,CA5,D,D
27,2016,CA5,D,D
28,2016,CA5,D,D
29,2016,CA5,D,D
30,2016,CA5,D,D
31,2016,CA5,D,X
32,2016,CA5,D,D
33,2016,CA5,D,D
34,2016,CA5,D,D
35,2016,CA5,D,D
36,2016,CA5,D,D
37,2016,CA5,D,D
38,2016,CA5,D,D
39,2016,CA5,R,R
40,2016,CA5,D,D
41,2016,CA5,D,D
42,2016,CA5,R,R
43,2016,CA5,D,D
44,2016,CA5,D,D
45,2016,CA5,R,R
46,2016,CA5,D,D
47,2016,CA5,D,D
48,2016,CA5,R,R
49,2016,CA5,R,R
50,2016,CA5,R,R
51,2016,CA5,D,D
52,2016,CA5,D,D
53,2016,CA5,D,D
1,2002,CO4,D,D
2,2002,CO4,D,D
3,2002,CO4,R,X
4,2002,CO4,R,X
5,2002,CO4,R,R
6,2002,CO4,R,R
7,2002,CO4,R,X
1,2004,CO4,D,D
2,2004,CO4,D,D
3,2004,CO4,D,X
4,2004,CO4,R,X
5,2004,CO4,R,R
6,2004,CO4,R,R
7,2004,CO4,R,X
1,2006,CO4,D,D
2,2006,CO4,D,D
3,2006,CO4,D,X
4,2006,CO4,R,X
5,2006,CO4,R,R
6,2006,CO4,R,R
7,2006,CO4,D,X
1,2008,CO4,D,D
2,2008,CO4,D,D
3,2008,CO4,D,X
4,2008,CO4,D,X
5,2008,CO4,R,R
6,2008,CO4,R,R
7,2008,CO4,D,X
1,2010,CO4,D,D
2,2010,CO4,D,D
3,2010,CO4,R,X
4,2010,CO4,R,X
5,2010,CO4,R,R
6,2010,CO4,R,R
7,2010,CO4,D,X
1,2012,CO5,D,D
2,2012,CO5,D,D
3,2012,CO5,R,R
4,2012,CO5,R,R
5,2012,CO5,R,R
6,2012,CO5,R,R
7,2012,CO5,D,D
1,2014,CO5,D,D
2,2014,CO5,D,D
3,2014,CO5,R,R
4,2014,CO5,R,R
5,2014,CO5,R,R
6,2014,CO5,R,R
7,2014,CO5,D,D
1,2016,CO5,D,D
2,2016,CO5,D,D
3,2016,CO5,R,R
4,2016,CO5,R,R
5,2016,CO5,R,R
6,2016,CO5,R,R
7,2016,CO5,D,D
1,1972,FL1,D,D
2,1972,FL1,D,D
3,1972,FL1,D,D
4,1972,FL1,D,D
5,1972,FL1,D,X
6,1972,FL1,R,R
7,1972,FL1,D,D
8,1972,FL1,D,D
9,1972,FL1,R,X
10,1972,FL1,R,R
11,1972,FL1,D,D
12,1972,FL1,R,X
13,1972,FL1,D,D
14,1972,FL1,D,D
15,1972,FL1,D,D
1,1974,FL1,D,D
2,1974,FL1,D,D
3,1974,FL1,D,D
4,1974,FL1,D,D
5,1974,FL1,R,X
6,1974,FL1,R,R
7,1974,FL1,D,D
8,1974,FL1,D,D
9,1974,FL1,R,X
10,1974,FL1,R,R
11,1974,FL1,D,D
12,1974,FL1,R,X
13,1974,FL1,D,D
14,1974,FL1,D,D
15,1974,FL1,D,D
1,1976,FL1,D,D
2,1976,FL1,D,D
3,1976,FL1,D,D
4,1976,FL1,D,D
5,1976,FL1,R,X
6,1976,FL1,R,R
7,1976,FL1,D,D
8,1976,FL1,D,D
9,1976,FL1,R,X
10,1976,FL1,R,R
11,1976,FL1,D,D
12,1976,FL1,R,X
13,1976,FL1,D,D
14,1976,FL1,D,D
15,1976,FL1,D,D
1,1978,FL1,D,D
2,1978,FL1,D,D
3,1978,FL1,D,D
4,1978,FL1,D,D
5,1978,FL1,R,X
6,1978,FL1,R,R
7,1978,FL1,D,D
8,1978,FL1,D,D
9,1978,FL1,D,X
10,1978,FL1,R,R
11,1978,FL1,D,D
12,1978,FL1,D,X
13,1978,FL1,D,D
14,1978,FL1,D,D
15,1978,FL1,D,D
1,1980,FL1,D,D
2,1980,FL1,D,D
3,1980,FL1,D,D
4,1980,FL1,D,D
5,1980,FL1,R,X
6,1980,FL1,R,R
7,1980,FL1,D,D
8,1980,FL1,D,D
9,1980,FL1,D,X
10,1980,FL1,R,R
11,1980,FL1,D,D
12,1980,FL1,R,X
13,1980,FL1,D,D
14,1980,FL1,D,D
15,1980,FL1,D,D
1,1982,FL2,D,D
2,1982,FL2,D,D
3,1982,FL2,D,D
4,1982,FL2,D,X
5,1982,FL2,R,R
6,1982,FL2,D,X
7,1982,FL2,D,D
8,1982,FL2,R,R
9,1982,FL2,R,R
10,1982,FL2,D,X
11,1982,FL2,D,D
12,1982,FL2,R,R
13,1982,FL2,R,R
14,1982,FL2,D,D
15,1982,FL2,R,R
16,1982,FL2,D,D
17,1982,FL2,D,D
18,1982,FL2,D,X
19,1982,FL2,D,D
1,1984,FL2,D,D
2,1984,FL2,D,D
3,1984,FL2,D,D
4,1984,FL2,D,X
5,1984,FL2,R,R
6,1984,FL2,D,X
7,1984,FL2,D,D
8,1984,FL2,R,R
9,1984,FL2,R,R
10,1984,FL2,R,X
11,1984,FL2,D,D
12,1984,FL2,R,R
13,1984,FL2,R,R
14,1984,FL2,D,D
15,1984,FL2,R,R
16,1984,FL2,D,D
17,1984,FL2,D,D
18,1984,FL2,D,X
19,1984,FL2,D,D
1,1986,FL2,D,D
2,1986,FL2,D,D
3,1986,FL2,D,D
4,1986,FL2,D,X
5,1986,FL2,R,R
6,1986,FL2,D,X
7,1986,FL2,D,D
8,1986,FL2,R,R
9,1986,FL2,R,R
10,1986,FL2,R,X
11,1986,FL2,D,D
12,1986,FL2,R,R
13,1986,FL2,R,R
14,1986,FL2,D,D
15,1986,FL2,R,R
16,1986,FL2,D,D
17,1986,FL2,D,D
18,1986,FL2,D,X
19,1986,FL2,D,D
1,1988,FL2,D,D
2,1988,FL2,D,D
3,1988,FL2,D,D
4,1988,FL2,R,X
5,1988,FL2,R,R
6,1988,FL2,R,X
7,1988,FL2,D,D
8,1988,FL2,R,R
9,1988,FL2,R,R
10,1988,FL2,R,X
11,1988,FL2,D,D
12,1988,FL2,R,R
13,1988,FL2,R,R
14,1988,FL2,D,D
15,1988,FL2,R,R
16,1988,FL2,D,D
17,1988,FL2,D,D
18,1988,FL2,D,X
19,1988,FL2,D,D
1,1990,FL2,D,D
2,1990,FL2,D,D
3,1990,FL2,D,D
4,1990,FL2,R,X
5,1990,FL2,R,R
6,1990,FL2,R,X
7,1990,FL2,D,D
8,1990,FL2,R,R
9,1990,FL2,R,R
10,1990,FL2,R,X
11,1990,FL2,D,D
12,1990,FL2,R,R
13,1990,FL2,R,R
14,1990,FL2,D,D
15,1990,FL2,R,R
16,1990,FL2,D,D
17,1990,FL2,D,D
18,1990,FL2,R,X
19,1990,FL2,D,D
1,1992,FL3,D,X
2,1992,FL3,D,D
3,1992,FL3,D,D
4,1992,FL3,R,R
5,1992,FL3,D,D
6,1992,FL3,R,R
7,1992,FL3,R,R
8,1992,FL3,R,R
9,1992,FL3,R,R
10,1992,FL3,R,R
11,1992,FL3,D,D
12,1992,FL3,R,R
13,1992,FL3,R,R
14,1992,FL3,R,R
15,1992,FL3,D,X
16,1992,FL3,R,R
17,1992,FL3,D,D
18,1992,FL3,R,R
19,1992,FL3,D,D
20,1992,FL3,D,D
21,1992,FL3,R,R
22,1992,FL3,R,R
23,1992,FL3,D,D
1,1994,FL3,R,X
2,1994,FL3,D,D
3,1994,FL3,D,D
4,1994,FL3,R,R
5,1994,FL3,D,D
6,1994,FL3,R,R
7,1994,FL3,R,R
8,1994,FL3,R,R
9,1994,FL3,R,R
10,1994,FL3,R,R
11,1994,FL3,D,D
12,1994,FL3,R,R
13,1994,FL3,R,R
14,1994,FL3,R,R
15,1994,FL3,R,X
16,1994,FL3,R,R
17,1994,FL3,D,D
18,1994,FL3,R,R
19,1994,FL3,D,D
20,1994,FL3,D,D
21,1994,FL3,R,R
22,1994,FL3,R,R
23,1994,FL3,D,D
1,1996,FL3.1,R,R
2,1996,FL3.1,D,D
3,1996,FL3.1,D,D
4,1996,FL3.1,R,R
5,1996,FL3.1,D,D
6,1996,FL3.1,R,R
7,1996,FL3.1,R,R
8,1996,FL3.1,R,R
9,1996,FL3.1,R,R
10,1996,FL3.1,R,R
11,1996,FL3.1,D,D
12,1996,FL3.1,R,R
13,1996,FL3.1,R,R
14,1996,FL3.1,R,R
15,1996,FL3.1,R,R
16,1996,FL3.1,R,R
17,1996,FL3.1,D,D
18,1996,FL3.1,R,R
19,1996,FL3.1,D,D
20,1996,FL3.1,D,D
21,1996,FL3.1,R,R
22,1996,FL3.1,R,R
23,1996,FL3.1,D,D
1,1998,FL3.1,R,R
2,1998,FL3.1,D,D
3,1998,FL3.1,D,D
4,1998,FL3.1,R,R
5,1998,FL3.1,D,D
6,1998,FL3.1,R,R
7,1998,FL3.1,R,R
8,1998,FL3.1,R,R
9,1998,FL3.1,R,R
10,1998,FL3.1,R,R
11,1998,FL3.1,D,D
12,1998,FL3.1,R,R
13,1998,FL3.1,R,R
14,1998,FL3.1,R,R
15,1998,FL3.1,R,R
16,1998,FL3.1,R,R
17,1998,FL3.1,D,D
18,1998,FL3.1,R,R
19,1998,FL3.1,D,D
20,1998,FL3.1,D,D
21,1998,FL3.1,R,R
22,1998,FL3.1,R,R
23,1998,FL3.1,D,D
1,2000,FL3.1,R,R
2,2000,FL3.1,D,D
3,2000,FL3.1,D,D
4,2000,FL3.1,R,R
5,2000,FL3.1,D,D
6,2000,FL3.1,R,R
7,2000,FL3.1,R,R
8,2000,FL3.1,R,R
9,2000,FL3.1,R,R
10,2000,FL3.1,R,R
11,2000,FL3.1,D,D
12,2000,FL3.1,R,R
13,2000,FL3.1,R,R
14,2000,FL3.1,R,R
15,2000,FL3.1,R,R
16,2000,FL3.1,R,R
17,2000,FL3.1,D,D
18,2000,FL3.1,R,R
19,2000,FL3.1,D,D
20,2000,FL3.1,D,D
21,2000,FL3.1,R,R
22,2000,FL3.1,R,R
23,2000,FL3.1,D,D
1,2002,FL4,R,R
2,2002,FL4,D,X
3,2002,FL4,D,D
4,2002,FL4,R,R
5,2002,FL4,R,R
6,2002,FL4,R,R
7,2002,FL4,R,R
8,2002,FL4,R,X
9,2002,FL4,R,R
10,2002,FL4,R,R
11,2002,FL4,D,D
12,2002,FL4,R,R
13,2002,FL4,R,R
14,2002,FL4,R,R
15,2002,FL4,R,R
16,2002,FL4,R,X
17,2002,FL4,D,D
18,2002,FL4,R,R
19,2002,FL4,D,D
20,2002,FL4,D,D
21,2002,FL4,R,R
22,2002,FL4,R,X
23,2002,FL4,D,X
24,2002,FL4,R,X
25,2002,FL4,R,X
1,2004,FL4,R,R
2,2004,FL4,D,X
3,2004,FL4,D,D
4,2004,FL4,R,R
5,2004,FL4,R,R
6,2004,FL4,R,R
7,2004,FL4,R,R
8,2004,FL4,R,X
9,2004,FL4,R,R
10,2004,FL4,R,R
11,2004,FL4,D,D
12,2004,FL4,R,R
13,2004,FL4,R,R
14,2004,FL4,R,R
15,2004,FL4,R,R
16,2004,FL4,R,X
17,2004,FL4,D,D
18,2004,FL4,R,R
19,2004,FL4,D,D
20,2004,FL4,D,D
21,2004,FL4,R,R
22,2004,FL4,R,X
23,2004,FL4,D,X
24,2004,FL4,R,X
25,2004,FL4,R,X
1,2006,FL4,R,R
2,2006,FL4,D,X
3,2006,FL4,D,D
4,2006,FL4,R,R
5,2006,FL4,R,R
6,2006,FL4,R,R
7,2006,FL4,R,R
8,2006,FL4,R,X
9,2006,FL4,R,R
10,2006,FL4,R,R
11,2006,FL4,D,D
12,2006,FL4,R,R
13,2006,FL4,R,R
14,2006,FL4,R,R
15,2006,FL4,R,R
16,2006,FL4,D,X
17,2006,FL4,D,D
18,2006,FL4,R,R
19,2006,FL4,D,D
20,2006,FL4,D,D
21,2006,FL4,R,R
22,2006,FL4,D,X
23,2006,FL4,D,X
24,2006,FL4,R,X
25,2006,FL4,R,X
1,2008,FL4,R,R
2,2008,FL4,D,X
3,2008,FL4,D,D
4,2008,FL4,R,R
5,2008,FL4,R,R
6,2008,FL4,R,R
7,2008,FL4,R,R
8,2008,FL4,D,X
9,2008,FL4,R,R
10,2008,FL4,R,R
11,2008,FL4,D,D
12,2008,FL4,R,R
13,2008,FL4,R,R
14,2008,FL4,R,R
15,2008,FL4,R,R
16,2008,FL4,R,X
17,2008,FL4,D,D
18,2008,FL4,R,R
19,2008,FL4,D,D
20,2008,FL4,D,D
21,2008,FL4,R,R
22,2008,FL4,D,X
23,2008,FL4,D,X
24,2008,FL4,D,X
25,2008,FL4,R,X
1,2010,FL4,R,R
2,2010,FL4,R,X
3,2010,FL4,D,D
4,2010,FL4,R,R
5,2010,FL4,R,R
6,2010,FL4,R,R
7,2010,FL4,R,R
8,2010,FL4,R,X
9,2010,FL4,R,R
10,2010,FL4,R,R
11,2010,FL4,D,D
12,2010,FL4,R,R
13,2010,FL4,R,R
14,2010,FL4,R,R
15,2010,FL4,R,R
16,2010,FL4,R,X
17,2010,FL4,D,D
18,2010,FL4,R,R
19,2010,FL4,D,D
20,2010,FL4,D,D
21,2010,FL4,R,R
22,2010,FL4,R,X
23,2010,FL4,R,X
24,2010,FL4,R,X
25,2010,FL4,D,X
1,2012,FL5,R,R
2,2012,FL5,R,X
3,2012,FL5,R,R
4,2012,FL5,R,R
5,2012,FL5,D,D
6,2012,FL5,R,R
7,2012,FL5,R,R
8,2012,FL5,R,R
9,2012,FL5,D,D
10,2012,FL5,R,R
11,2012,FL5,R,R
12,2012,FL5,R,R
13,2012,FL5,R,R
14,2012,FL5,D,D
15,2012,FL5,R,R
16,2012,FL5,R,R
17,2012,FL5,R,R
18,2012,FL5,D,D
19,2012,FL5,R,R
20,2012,FL5,D,D
21,2012,FL5,D,D
22,2012,FL5,D,D
23,2012,FL5,D,D
24,2012,FL5,D,D
25,2012,FL5,R,R
26,2012,FL5,D,X
27,2012,FL5,R,R
1,2014,FL5,R,R
2,2014,FL5,D,X
3,2014,FL5,R,R
4,2014,FL5,R,R
5,2014,FL5,D,D
6,2014,FL5,R,R
7,2014,FL5,R,R
8,2014,FL5,R,R
9,2014,FL5,D,D
10,2014,FL5,R,R
11,2014,FL5,R,R
12,2014,FL5,R,R
13,2014,FL5,R,R
14,2014,FL5,D,D
15,2014,FL5,R,R
16,2014,FL5,R,R
17,2014,FL5,R,R
18,2014,FL5,D,D
19,2014,FL5,R,R
20,2014,FL5,D,D
21,2014,FL5,D,D
22,2014,FL5,D,D
23,2014,FL5,D,D
24,2014,FL5,D,D
25,2014,FL5,R,R
26,2014,FL5,R,X
27,2014,FL5,R,R
1,2016,FL5.1,R,R
2,2016,FL5.1,R,R
3,2016,FL5.1,R,R
4,2016,FL5.1,R,R
5,2016,FL5.1,D,D
6,2016,FL5.1,R,R
7,2016,FL5.1,D,D
8,2016,FL5.1,R,R
9,2016,FL5.1,D,D
10,2016,FL5.1,D,D
11,2016,FL5.1,R,R
12,2016,FL5.1,R,R
13,2016,FL5.1,D,D
14,2016,FL5.1,D,D
15,2016,FL5.1,R,R
16,2016,FL5.1,R,R
17,2016,FL5.1,R,R
18,2016,FL5.1,R,R
19,2016,FL5.1,R,R
20,2016,FL5.1,D,D
21,2016,FL5.1,D,D
22,2016,FL5.1,D,D
23,2016,FL5.1,D,D
24,2016,FL5.1,D,D
25,2016,FL5.1,R,R
26,2016,FL5.1,R,R
27,2016,FL5.1,R,R
1,1972,GA1,D,D
2,1972,GA1,D,D
3,1972,GA1,D,D
4,1972,GA1,R,X
5,1972,GA1,D,D
6,1972,GA1,D,X
7,1972,GA1,D,D
8,1972,GA1,D,D
9,1972,GA1,D,D
10,1972,GA1,D,D
1,1974,GA1,D,D
2,1974,GA1,D,D
3,1974,GA1,D,D
4,1974,GA1,D,X
5,1974,GA1,D,D
6,1974,GA1,D,X
7,1974,GA1,D,D
8,1974,GA1,D,D
9,1974,GA1,D,D
10,1974,GA1,D,D
1,1976,GA1,D,D
2,1976,GA1,D,D
3,1976,GA1,D,D
4,1976,GA1,D,X
5,1976,GA1,D,D
6,1976,GA1,D,X
7,1976,GA1,D,D
8,1976,GA1,D,D
9,1976,GA1,D,D
10,1976,GA1,D,D
1,1978,GA1,D,D
2,1978,GA1,D,D
3,1978,GA1,D,D
4,1978,GA1,D,X
5,1978,GA1,D,D
6,1978,GA1,R,X
7,1978,GA1,D,D
8,1978,GA1,D,D
9,1978,GA1,D,D
10,1978,GA1,D,D
1,1980,GA1,D,D
2,1980,GA1,D,D
3,1980,GA1,D,D
4,1980,GA1,D,X
5,1980,GA1,D,D
6,1980,GA1,R,X
7,1980,GA1,D,D
8,1980,GA1,D,D
9,1980,GA1,D,D
10,1980,GA1,D,D
1,1982,GA2,D,D
2,1982,GA2,D,D
3,1982,GA2,D,D
4,1982,GA2,D,X
5,1982,GA2,D,D
6,1982,GA2,R,R
7,1982,GA2,D,D
8,1982,GA2,D,D
9,1982,GA2,D,D
10,1982,GA2,D,D
1,1984,GA2,D,D
2,1984,GA2,D,D
3,1984,GA2,D,D
4,1984,GA2,R,X
5,1984,GA2,D,D
6,1984,GA2,R,R
7,1984,GA2,D,D
8,1984,GA2,D,D
9,1984,GA2,D,D
10,1984,GA2,D,D
1,1986,GA2,D,D
2,1986,GA2,D,D
3,1986,GA2,D,D
4,1986,GA2,R,X
5,1986,GA2,D,D
6,1986,GA2,R,R
7,1986,GA2,D,D
8,1986,GA2,D,D
9,1986,GA2,D,D
10,1986,GA2,D,D
1,1988,GA2,D,D
2,1988,GA2,D,D
3,1988,GA2,D,D
4,1988,GA2,D,X
5,1988,GA2,D,D
6,1988,GA2,R,R
7,1988,GA2,D,D
8,1988,GA2,D,D
9,1988,GA2,D,D
10,1988,GA2,D,D
1,1990,GA2,D,D
2,1990,GA2,D,D
3,1990,GA2,D,D
4,1990,GA2,D,X
5,1990,GA2,D,D
6,1990,GA2,R,R
7,1990,GA2,D,D
8,1990,GA2,D,D
9,1990,GA2,D,D
10,1990,GA2,D,D
1,1992,GA3,R,R
2,1992,GA3,D,D
3,1992,GA3,R,R
4,1992,GA3,R,R
5,1992,GA3,D,D
6,1992,GA3,R,R
7,1992,GA3,D,X
8,1992,GA3,D,X
9,1992,GA3,D,D
10,1992,GA3,D,X
11,1992,GA3,D,D
1,1994,GA3,R,R
2,1994,GA3,D,D
3,1994,GA3,R,R
4,1994,GA3,R,R
5,1994,GA3,D,D
6,1994,GA3,R,R
7,1994,GA3,R,X
8,1994,GA3,R,X
9,1994,GA3,D,D
10,1994,GA3,R,X
11,1994,GA3,D,D
1,1996,GA3.1,R,R
2,1996,GA3.1,D,D
3,1996,GA3.1,R,R
4,1996,GA3.1,D,D
5,1996,GA3.1,D,D
6,1996,GA3.1,R,R
7,1996,GA3.1,R,R
8,1996,GA3.1,R,R
9,1996,GA3.1,R,R
10,1996,GA3.1,R,R
11,1996,GA3.1,R,R
1,1998,GA3.1,R,R
2,1998,GA3.1,D,D
3,1998,GA3.1,R,R
4,1998,GA3.1,D,D
5,1998,GA3.1,D,D
6,1998,GA3.1,R,R
7,1998,GA3.1,R,R
8,1998,GA3.1,R,R
9,1998,GA3.1,R,R
10,1998,GA3.1,R,R
11,1998,GA3.1,R,R
1,2000,GA3.1,R,R
2,2000,GA3.1,D,D
3,2000,GA3.1,R,R
4,2000,GA3.1,D,D
5,2000,GA3.1,D,D
6,2000,GA3.1,R,R
7,2000,GA3.1,R,R
8,2000,GA3.1,R,R
9,2000,GA3.1,R,R
10,2000,GA3.1,R,R
11,2000,GA3.1,R,R
1,2002,GA4,R,R
2,2002,GA4,D,D
3,2002,GA4,D,D
4,2002,GA4,D,D
5,2002,GA4,D,D
6,2002,GA4,R,R
7,2002,GA4,R,R
8,2002,GA4,R,R
9,2002,GA4,R,R
10,2002,GA4,R,R
11,2002,GA4,R,R
12,2002,GA4,R,X
13,2002,GA4,D,D
1,2004,GA4,R,R
2,2004,GA4,D,D
3,2004,GA4,D,D
4,2004,GA4,D,D
5,2004,GA4,D,D
6,2004,GA4,R,R
7,2004,GA4,R,R
8,2004,GA4,R,R
9,2004,GA4,R,R
10,2004,GA4,R,R
11,2004,GA4,R,R
12,2004,GA4,D,X
13,2004,GA4,D,D
1,2006,GA4.1,R,R
2,2006,GA4.1,D,D
3,2006,GA4.1,R,R
4,2006,GA4.1,D,D
5,2006,GA4.1,D,D
6,2006,GA4.1,R,R
7,2006,GA4.1,R,R
8,2006,GA4.1,D,X
9,2006,GA4.1,R,R
10,2006,GA4.1,R,R
11,2006,GA4.1,R,R
12,2006,GA4.1,D,D
13,2006,GA4.1,D,D
1,2008,GA4.1,R,R
2,2008,GA4.1,D,D
3,2008,GA4.1,R,R
4,2008,GA4.1,D,D
5,2008,GA4.1,D,D
6,2008,GA4.1,R,R
7,2008,GA4.1,R,R
8,2008,GA4.1,D,X
9,2008,GA4.1,R,R
10,2008,GA4.1,R,R
11,2008,GA4.1,R,R
12,2008,GA4.1,D,D
13,2008,GA4.1,D,D
1,2010,GA4.1,R,R
2,2010,GA4.1,D,D
3,2010,GA4.1,R,R
4,2010,GA4.1,D,D
5,2010,GA4.1,D,D
6,2010,GA4.1,R,R
7,2010,GA4.1,R,R
8,2010,GA4.1,R,X
9,2010,GA4.1,R,R
10,2010,GA4.1,R,R
11,2010,GA4.1,R,R
12,2010,GA4.1,D,D
13,2010,GA4.1,D,D
1,2012,GA5,R,R
2,2012,GA5,D,D
3,2012,GA5,R,R
4,2012,GA5,D,D
5,2012,GA5,D,D
6,2012,GA5,R,R
7,2012,GA5,R,R
8,2012,GA5,R,R
9,2012,GA5,R,R
10,2012,GA5,R,R
11,2012,GA5,R,R
12,2012,GA5,D,X
13,2012,GA5,D,D
14,2012,GA5,R,R
1,2014,GA5,R,R
2,2014,GA5,D,D
3,2014,GA5,R,R
4,2014,GA5,D,D
5,2014,GA5,D,D
6,2014,GA5,R,R
7,2014,GA5,R,R
8,2014,GA5,R,R
9,2014,GA5,R,R
10,2014,GA5,R,R
11,2014,GA5,R,R
12,2014,GA5,R,X
13,2014,GA5,D,D
14,2014,GA5,R,R
1,2016,GA5,R,R
2,2016,GA5,D,D
3,2016,GA5,R,R
4,2016,GA5,D,D
5,2016,GA5,D,D
6,2016,GA5,R,R
7,2016,GA5,R,R
8,2016,GA5,R,R
9,2016,GA5,R,R
10,2016,GA5,R,R
11,2016,GA5,R,R
12,2016,GA5,R,X
13,2016,GA5,D,D
14,2016,GA5,R,R
1,1972,IL1,D,D
2,1972,IL1,D,D
3,1972,IL1,R,X
4,1972,IL1,R,R
5,1972,IL1,D,D
6,1972,IL1,R,R
7,1972,IL1,D,D
8,1972,IL1,D,D
9,1972,IL1,D,D
10,1972,IL1,R,X
