district,year,plan,winner,winner_plan
23,1972,CA1,R,R
24,1972,CA1,R,R
25,1972,CA1,R,R
26,1972,CA1,D,D
27,1972,CA1,R,R
28,1972,CA1,R,R
29,1972,CA1,D,D
30,1972,CA1,D,D
31,1972,CA1,D,D
32,1972,CA1,R,R
33,1972,CA1,R,R
34,1972,CA1,D,D
35,1972,CA1,D,D
36,1972,CA1,R,R
37,1972,CA1,D,D
38,1972,CA1,D,D
39,1972,CA1,R,R
40,1972,CA1,R,R
41,1972,CA1,D,D
42,1972,CA1,R,R
43,1972,CA1,R,R
1,1974,CA1.1,D,X
2,1974,CA1.1,R,R
3,1974,CA1.1,D,D
4,1974,CA1.1,D,D
5,1974,CA1.1,D,D
6,1974,CA1.1,D,D
7,1974,CA1.1,D,D
8,1974,CA1.1,D,D
9,1974,CA1.1,D,D
10,1974,CA1.1,D,D
11,1974,CA1.1,D,D
12,1974,CA1.1,R,R
13,1974,CA1.1,D,D
14,1974,CA1.1,D,X
15,1974,CA1.1,D,D
16,1974,CA1.1,R,X
17,1974,CA1.1,D,X
18,1974,CA1.1,R,R
19,1974,CA1.1,R,R
20,1974,CA1.1,R,R
21,1974,CA1.1,D,X
22,1974,CA1.1,R,R
23,1974,CA1.1,D,D
24,1974,CA1.1,D,D
25,1974,CA1.1,D,D
26,1974,CA1.1,R,R
27,1974,CA1.1,R,R
28,1974,CA1.1,D,D
29,1974,CA1.1,D,D
30,1974,CA1.1,D,D
31,1974,CA1.1,D,D
32,1974,CA1.1,D,D
33,1974,CA1.1,R,R
34,1974,CA1.1,D,X
35,1974,CA1.1,D,X
36,1974,CA1.1,D,D
37,1974,CA1.1,R,R
38,1974,CA1.1,D,D
39,1974,CA1.1,R,R
40,1974,CA1.1,R,R
41,1974,CA1.1,R,R
42,1974,CA1.1,D,X
43,1974,CA1.1,R,R
1,1976,CA1.1,D,X
2,1976,CA1.1,R,R
3,1976,CA1.1,D,D
4,1976,CA1.1,D,D
5,1976,CA1.1,D,D
6,1976,CA1.1,D,D
7,1976,CA1.1,D,D
8,1976,CA1.1,D,D
9,1976,CA1.1,D,D
10,1976,CA1.1,D,D
11,1976,CA1.1,D,D
12,1976,CA1.1,R,R
13,1976,CA1.1,D,D
14,1976,CA1.1,D,X
15,1976,CA1.1,D,D
16,1976,CA1.1,D,X
17,1976,CA1.1,D,X
18,1976,CA1.1,R,R
19,1976,CA1.1,R,R
20,1976,CA1.1,R,R
21,1976,CA1.1,D,X
22,1976,CA1.1,R,R
23,1976,CA1.1,D,D
24,1976,CA1.1,D,D
25,1976,CA1.1,D,D
26,1976,CA1.1,R,R
27,1976,CA1.1,R,R
28,1976,CA1.1,D,D
29,1976,CA1.1,D,D
30,1976,CA1.1,D,D
31,1976,CA1.1,D,D
32,1976,CA1.1,D,D
33,1976,CA1.1,R,R
34,1976,CA1.1,D,X
35,1976,CA1.1,D,X
36,1976,CA1.1,D,D
37,1976,CA1.1,R,R
38,1976,CA1.1,D,D
39,1976,CA1.1,R,R
40,1976,CA1.1,R,R
41,1976,CA1.1,R,R
42,1976,CA1.1,D,X
43,1976,CA1.1,R,R
1,1978,CA1.1,D,X
2,1978,CA1.1,R,R
3,1978,CA1.1,D,D
4,1978,CA1.1,D,D
5,1978,CA1.1,D,D
6,1978,CA1.1,D,D
7,1978,CA1.1,D,D
8,1978,CA1.1,D,D
9,1978,CA1.1,D,D
10,1978,CA1.1,D,D
11,1978,CA1.1,D,D
12,1978,CA1.1,R,R
13,1978,CA1.1,D,D
14,1978,CA1.1,R,X
15,1978,CA1.1,D,D
16,1978,CA1.1,D,X
17,1978,CA1.1,R,X
18,1978,CA1.1,R,R
19,1978,CA1.1,R,R
20,1978,CA1.1,R,R
21,1978,CA1.1,D,X
22,1978,CA1.1,R,R
23,1978,CA1.1,D,D
24,1978,CA1.1,D,D
25,1978,CA1.1,D,D
26,1978,CA1.1,R,R
27,1978,CA1.1,R,R
28,1978,CA1.1,D,D
29,1978,CA1.1,D,D
30,1978,CA1.1,D,D
31,1978,CA1.1,D,D
32,1978,CA1.1,D,D
33,1978,CA1.1,R,R
34,1978,CA1.1,R,X
35,1978,CA1.1,D,X
36,1978,CA1.1,D,D
37,1978,CA1.1,R,R
38,1978,CA1.1,D,D
39,1978,CA1.1,R,R
40,1978,CA1.1,R,R
41,1978,CA1.1,R,R
42,1978,CA1.1,D,X
43,1978,CA1.1,R,R
1,1980,CA1.1,R,X
2,1980,CA1.1,R,R
3,1980,CA1.1,D,D
4,1980,CA1.1,D,D
5,1980,CA1.1,D,D
6,1980,CA1.1,D,D
7,1980,CA1.1,D,D
8,1980,CA1.1,D,D
9,1980,CA1.1,D,D
10,1980,CA1.1,D,D
11,1980,CA1.1,D,D
12,1980,CA1.1,R,R
13,1980,CA1.1,D,D
14,1980,CA1.1,R,X
