shape_id,county_name,precinct_id,sen_red,sen_blue,con_districts,con_contested,con_red_votes,con_blue_votes,sldu_districts,sldu_contested,sldu_red_votes,sldu_blue_votes,sldl_districts,sldl_contested,sldl_red_votes,sldl_blue_votes,population,white_pop,black_pop,asian_pop,hispanic_pop,other_pop,median_age,median_income,education_pop,school_pop,diploma_pop,college_pop,graduate_pop,area_km2,con_imputed,sldu_imputed,sldl_imputed
2267,JACKSON,WEB,363,566,11,Yes,413,551,50,Yes,349,621,119,Yes,342,623,1973,1712,73,22,112,53,30,34174,1027,111,323,447,147,27,No,No,No
1407,JOHNSTON,PR04,366,182,7,Yes,402,167,10,Yes,375,188,28,No,373,197,2762,1985,279,0,388,110,46,36041,2034,641,726,600,67,138,No,No,Yes
1406,JOHNSTON,PR07,886,301,7,Yes,954,249,10,Yes,801,450,28,No,895,330,4490,3811,431,15,194,39,39,42785,3037,630,1275,1070,62,98,No,No,Yes
1404,JOHNSTON,PR08,691,162,7,Yes,742,128,10,Yes,661,241,28,No,694,188,3434,2626,487,14,264,43,38,39804,2273,504,1009,711,49,77,No,No,Yes
1398,JOHNSTON,PR09,1318,688,7,Yes,1397,600,1011,"No,Yes",1298,742,26,No,1298,711,7174,4272,1659,34,998,211,36,50000,4650,661,1819,1958,212,39,No,Yes,Yes
2273,JOHNSTON,PR10A,472,601,7,Yes,521,563,11,No,468,622,26,No,470,602,3475,2030,932,19,419,76,37,47952,2273,220,856,1071,125,12,No,Yes,Yes
2272,JOHNSTON,PR10B,637,312,7,Yes,684,271,11,No,617,326,26,No,618,314,6253,4250,1442,29,403,129,37,55820,4166,280,1526,2031,330,23,No,Yes,Yes
2649,JOHNSTON,PR11A,675,536,7,Yes,709,495,1011,"No,Yes",672,562,26,No,677,533,3490,2413,630,34,344,69,31,54571,2149,184,811,1076,79,20,No,Yes,Yes
2648,JOHNSTON,PR11B,1058,805,7,Yes,1094,754,1011,"No,Yes",1066,828,26,No,1069,788,4266,3083,776,18,252,136,37,63889,2765,181,931,1411,242,18,No,Yes,Yes
2276,JOHNSTON,PR12A,1111,620,7,Yes,1150,588,1011,"No,Yes",1112,638,26,No,1120,603,5542,4188,791,19,377,167,36,68861,3509,202,1238,1776,293,25,No,Yes,Yes
2277,JOHNSTON,PR12B,984,654,7,Yes,1040,588,10,Yes,1018,647,26,No,1007,653,5118,4056,648,0,408,6,36,70411,3295,78,1532,1442,244,24,No,No,Yes
1403,JOHNSTON,PR13,752,284,7,Yes,830,231,1012,Yes,725,263,28,No,764,301,4560,3744,330,56,309,122,39,51421,3109,384,1235,1291,199,65,No,No,Yes
1405,JOHNSTON,PR14,722,184,7,Yes,782,141,1012,Yes,450,117,28,No,729,199,5121,4128,345,45,478,125,39,49663,3456,591,1242,1429,194,69,No,No,Yes
1402,JOHNSTON,PR19,492,194,7,Yes,530,176,1011,"No,Yes",487,227,28,No,499,217,3150,2064,465,6,570,45,40,35083,2062,427,920,660,55,60,No,Yes,Yes
1397,JOHNSTON,PR20,728,449,7,Yes,772,413,11,No,717,484,26,No,728,472,4782,2736,1106,9,873,59,42,48432,3256,698,1433,1060,65,101,No,Yes,Yes
1400,JOHNSTON,PR21,840,226,7,Yes,882,193,11,No,829,266,28,No,843,253,4559,2919,760,4,760,115,40,46416,2991,568,1313,1046,63,92,No,Yes,Yes
